,Call Id,Agent,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,DateTime
0,ID0001,Diane,Contract related,1,1,109.0,00:02:23,3.0,2021-01-01 09:12:58
1,ID0002,Becky,Technical Support,1,0,70.0,00:04:02,3.0,2021-01-01 09:12:58
2,ID0003,Stewart,Contract related,1,1,10.0,00:02:11,3.0,2021-01-01 09:47:31
3,ID0004,Greg,Contract related,1,1,53.0,00:00:37,2.0,2021-01-01 09:47:31
4,ID0005,Becky,Payment related,1,1,95.0,00:01:00,3.0,2021-01-01 10:00:29
5,ID0006,Stewart,Technical Support,0,0,,,,2021-01-01 10:00:29
6,ID0007,Diane,Payment related,1,1,24.0,00:03:40,2.0,2021-01-01 10:22:05
7,ID0008,Diane,Payment related,1,1,22.0,00:00:38,4.0,2021-01-01 10:22:05
8,ID0009,Greg,Admin Support,1,1,15.0,00:06:38,4.0,2021-01-01 11:13:55
9,ID0010,Jim,Streaming,1,1,78.0,00:01:04,3.0,2021-01-01 11:13:55
10,ID0011,Joe,Payment related,0,0,,,,2021-01-01 11:15:22
11,ID0012,Greg,Payment related,1,1,50.0,00:00:32,4.0,2021-01-01 11:15:22
12,ID0013,Joe,Payment related,1,1,84.0,00:03:34,3.0,2021-01-01 11:52:48
13,ID0014,Martha,Contract related,1,1,89.0,00:05:44,3.0,2021-01-01 11:52:48
14,ID0015,Becky,Admin Support,1,1,48.0,00:03:47,4.0,2021-01-01 11:55:41
15,ID0016,Becky,Admin Support,1,1,63.0,00:05:26,2.0,2021-01-01 11:55:41
16,ID0017,Greg,Technical Support,1,1,45.0,00:05:32,5.0,2021-01-01 11:57:07
17,ID0018,Becky,Admin Support,0,0,,,,2021-01-01 11:57:07
18,ID0019,Jim,Streaming,0,0,,,,2021-01-01 12:01:26
19,ID0020,Jim,Contract related,1,1,101.0,00:02:27,3.0,2021-01-01 12:01:26
20,ID0021,Jim,Technical Support,1,1,74.0,00:05:22,5.0,2021-01-01 12:02:53
21,ID0022,Dan,Admin Support,1,1,89.0,00:05:50,5.0,2021-01-01 12:02:53
22,ID0023,Martha,Technical Support,0,0,,,,2021-01-01 12:02:53
23,ID0024,Joe,Technical Support,1,1,68.0,00:05:25,2.0,2021-01-01 12:02:53
24,ID0025,Diane,Streaming,1,1,97.0,00:04:09,3.0,2021-01-01 12:30:14
25,ID0026,Dan,Payment related,0,0,,,,2021-01-01 12:30:14
26,ID0027,Joe,Streaming,1,1,39.0,00:04:00,3.0,2021-01-01 12:40:19
27,ID0028,Martha,Contract related,1,1,51.0,00:02:34,4.0,2021-01-01 12:40:19
28,ID0029,Joe,Technical Support,1,1,106.0,00:02:09,4.0,2021-01-01 12:40:19
29,ID0030,Stewart,Streaming,1,1,107.0,00:05:55,3.0,2021-01-01 12:40:19
30,ID0031,Joe,Admin Support,1,1,22.0,00:05:08,3.0,2021-01-01 13:24:58
31,ID0032,Joe,Streaming,1,1,122.0,00:02:08,4.0,2021-01-01 13:24:58
32,ID0033,Diane,Technical Support,1,1,57.0,00:06:49,3.0,2021-01-01 13:33:36
33,ID0034,Jim,Payment related,1,0,53.0,00:01:44,2.0,2021-01-01 13:33:36
34,ID0035,Becky,Streaming,1,1,119.0,00:01:31,5.0,2021-01-01 13:42:14
35,ID0036,Diane,Streaming,0,0,,,,2021-01-01 13:42:14
36,ID0037,Martha,Technical Support,1,0,20.0,00:01:12,2.0,2021-01-01 13:42:14
37,ID0038,Joe,Technical Support,1,1,52.0,00:00:36,3.0,2021-01-01 13:42:14
38,ID0039,Stewart,Contract related,1,1,74.0,00:06:41,1.0,2021-01-01 14:38:24
39,ID0040,Greg,Technical Support,1,1,49.0,00:02:29,3.0,2021-01-01 14:38:24
40,ID0041,Jim,Technical Support,1,1,27.0,00:02:09,5.0,2021-01-01 14:47:02
41,ID0042,Greg,Contract related,1,1,100.0,00:04:54,5.0,2021-01-01 14:47:02
42,ID0043,Diane,Technical Support,1,1,45.0,00:06:21,3.0,2021-01-01 14:47:02
43,ID0044,Becky,Payment related,1,1,98.0,00:03:14,5.0,2021-01-01 14:47:02
44,ID0045,Diane,Admin Support,1,1,25.0,00:05:13,5.0,2021-01-01 15:44:38
45,ID0046,Jim,Contract related,0,0,,,,2021-01-01 15:44:38
46,ID0047,Dan,Admin Support,1,1,107.0,00:02:22,3.0,2021-01-01 17:13:55
47,ID0048,Martha,Contract related,0,0,,,,2021-01-01 17:13:55
48,ID0049,Joe,Technical Support,1,1,104.0,00:03:35,5.0,2021-01-01 17:25:26
49,ID0050,Dan,Technical Support,0,0,,,,2021-01-01 17:25:26
50,ID0051,Martha,Contract related,0,0,,,,2021-01-01 17:35:31
51,ID0052,Jim,Admin Support,0,0,,,,2021-01-01 17:35:31
52,ID0053,Stewart,Payment related,1,1,13.0,00:01:15,5.0,2021-01-01 17:36:58
53,ID0054,Dan,Payment related,1,1,119.0,00:02:32,5.0,2021-01-01 17:36:58
54,ID0055,Becky,Streaming,1,1,35.0,00:01:19,3.0,2021-01-01 17:44:10
55,ID0056,Dan,Streaming,1,1,83.0,00:06:45,4.0,2021-01-01 17:44:10
56,ID0057,Jim,Technical Support,1,1,48.0,00:02:52,2.0,2021-01-01 17:57:07
57,ID0058,Stewart,Admin Support,1,1,45.0,00:03:23,5.0,2021-01-01 17:57:07
58,ID0059,Dan,Technical Support,1,1,65.0,00:06:00,5.0,2021-01-02 09:05:46
59,ID0060,Dan,Contract related,1,1,50.0,00:04:26,3.0,2021-01-02 09:05:46
60,ID0061,Diane,Streaming,1,1,17.0,00:06:15,3.0,2021-01-02 09:18:43
61,ID0062,Joe,Technical Support,0,0,,,,2021-01-02 09:18:43
62,ID0063,Dan,Streaming,1,1,96.0,00:06:46,1.0,2021-01-02 09:20:10
63,ID0064,Stewart,Streaming,1,1,90.0,00:06:23,3.0,2021-01-02 09:20:10
64,ID0065,Jim,Contract related,1,1,98.0,00:06:25,2.0,2021-01-02 09:38:53
65,ID0066,Diane,Technical Support,1,0,90.0,00:01:23,4.0,2021-01-02 09:38:53
66,ID0067,Jim,Contract related,1,1,98.0,00:05:49,5.0,2021-01-02 10:04:48
67,ID0068,Jim,Contract related,1,1,70.0,00:03:12,5.0,2021-01-02 10:04:48
68,ID0069,Diane,Contract related,1,1,69.0,00:04:45,4.0,2021-01-02 10:33:36
69,ID0070,Diane,Admin Support,0,0,,,,2021-01-02 10:33:36
70,ID0071,Joe,Technical Support,1,1,120.0,00:02:11,4.0,2021-01-02 11:08:10
71,ID0072,Stewart,Admin Support,1,1,113.0,00:05:51,5.0,2021-01-02 11:08:10
72,ID0073,Greg,Payment related,1,0,10.0,00:02:19,5.0,2021-01-02 11:26:53
73,ID0074,Becky,Contract related,1,1,122.0,00:04:53,1.0,2021-01-02 11:26:53
74,ID0075,Stewart,Technical Support,1,0,125.0,00:01:38,3.0,2021-01-02 11:42:43
75,ID0076,Diane,Admin Support,0,0,,,,2021-01-02 11:42:43
76,ID0077,Martha,Technical Support,1,1,33.0,00:06:38,2.0,2021-01-02 11:47:02
77,ID0078,Dan,Contract related,1,1,51.0,00:06:22,2.0,2021-01-02 11:47:02
78,ID0079,Becky,Contract related,1,1,58.0,00:03:28,3.0,2021-01-02 11:54:14
79,ID0080,Dan,Admin Support,1,1,121.0,00:04:47,5.0,2021-01-02 11:54:14
80,ID0081,Diane,Admin Support,1,1,118.0,00:02:06,4.0,2021-01-02 12:00:00
81,ID0082,Greg,Payment related,1,1,52.0,00:06:56,4.0,2021-01-02 12:00:00
82,ID0083,Stewart,Admin Support,1,1,55.0,00:04:44,3.0,2021-01-02 12:20:10
83,ID0084,Dan,Contract related,1,1,68.0,00:05:59,4.0,2021-01-02 12:20:10
